ProductID,ProductName,ProductType,MinInterestRate,MaxInterestRate,MinLoanAmount,MaxLoanAmount,TermOptionsMonths
PROD001,Personal Loan,Personal,6.5,18.0,1000,50000,"12,24,36,48,60"
PROD002,Home Mortgage,Mortgage,3.5,7.5,50000,2000000,"120,180,240,300,360"
PROD003,Auto Loan,Auto,4.9,12.5,5000,100000,"24,36,48,60,72"
PROD004,Student Loan,Student,4.0,8.0,1000,150000,"60,120,180"
PROD005,Business Loan,Business,7.0,20.0,10000,500000,"12,24,36,60"
PROD006,Home Equity,HELOC,5.5,9.5,10000,500000,"60,120,180"
PROD007,Credit Builder,Personal,12.0,24.0,500,5000,"12,24"
PROD008,Small Business,Business,8.5,22.0,5000,250000,"12,24,36"
PROD009,Debt Consolidation,Personal,9.0,21.0,2000,75000,"24,36,48,60"
PROD010,Investment Loan,Investment,6.0,15.0,25000,1000000,"12,24,36,60"
