TransactionID,AccountID,Amount,TransactionDate,TransactionTime,MerchantCategory,Location,PreviousLocation,TimeSinceLastTxnMins,NumTxnLast24h,AvgTxnAmount30d,IsFraud
FRD001,ACC001,45.20,2024-05-01,09:15:00,Grocery,Downtown,Downtown,480,2,52.30,0
FRD002,ACC002,1200.00,2024-05-01,09:45:00,Electronics,Overseas,Midtown,5,8,65.00,1
FRD003,ACC003,32.50,2024-05-01,10:00:00,Restaurant,Uptown,Uptown,200,1,38.20,0
FRD004,ACC004,4800.00,2024-05-01,10:02:00,Wire Transfer,Unknown,Downtown,2,15,120.00,1
FRD005,ACC005,22.00,2024-05-01,11:30:00,Gas Station,Eastside,Eastside,300,1,28.50,0
FRD006,ACC001,89.00,2024-05-01,13:00:00,Shopping,Downtown,Downtown,225,3,52.30,0
FRD007,ACC006,3200.00,2024-05-01,13:01:00,ATM,Overseas,Midtown,1,12,75.00,1
FRD008,ACC007,156.00,2024-05-01,14:20:00,Restaurant,Downtown,Downtown,400,2,140.00,0
FRD009,ACC008,9999.00,2024-05-01,14:22:00,Wire Transfer,Unknown,Westside,1,20,85.00,1
FRD010,ACC009,67.30,2024-05-01,15:00:00,Grocery,Uptown,Uptown,180,2,70.00,0
FRD011,ACC010,410.00,2024-05-02,08:00:00,Shopping,Downtown,Downtown,1020,1,380.00,0
FRD012,ACC011,2600.00,2024-05-02,08:01:00,Electronics,Overseas,Eastside,1,11,55.00,1
FRD013,ACC012,95.00,2024-05-02,09:30:00,Restaurant,Midtown,Midtown,240,2,88.00,0
FRD014,ACC013,56.00,2024-05-02,10:15:00,Gas Station,Westside,Westside,160,1,60.00,0
FRD015,ACC014,7500.00,2024-05-02,10:16:00,Wire Transfer,Unknown,Downtown,1,18,200.00,1
FRD016,ACC015,112.00,2024-05-02,11:45:00,Shopping,Uptown,Uptown,350,2,105.00,0
FRD017,ACC016,48.00,2024-05-02,13:00:00,Grocery,Eastside,Eastside,400,1,52.00,0
FRD018,ACC002,5100.00,2024-05-02,13:02:00,ATM,Overseas,Midtown,2,14,65.00,1
FRD019,ACC017,230.00,2024-05-02,14:30:00,Restaurant,Midtown,Midtown,500,3,210.00,0
FRD020,ACC018,85.00,2024-05-02,15:00:00,Grocery,Downtown,Downtown,300,1,90.00,0
FRD021,ACC019,38.00,2024-05-03,09:00:00,Gas Station,Westside,Westside,1080,1,42.00,0
FRD022,ACC020,6200.00,2024-05-03,09:01:00,Wire Transfer,Unknown,Uptown,1,16,150.00,1
FRD023,ACC001,72.00,2024-05-03,10:30:00,Shopping,Downtown,Downtown,540,2,52.30,0
FRD024,ACC003,44.00,2024-05-03,11:00:00,Restaurant,Uptown,Uptown,200,1,38.20,0
FRD025,ACC005,2900.00,2024-05-03,11:02:00,Electronics,Overseas,Eastside,2,13,28.50,1
FRD026,ACC007,185.00,2024-05-03,12:30:00,Shopping,Downtown,Downtown,360,2,140.00,0
FRD027,ACC009,55.00,2024-05-03,13:15:00,Grocery,Uptown,Uptown,220,1,70.00,0
FRD028,ACC010,8800.00,2024-05-03,13:16:00,Wire Transfer,Unknown,Downtown,1,19,380.00,1
FRD029,ACC012,102.00,2024-05-03,14:45:00,Restaurant,Midtown,Midtown,270,2,88.00,0
FRD030,ACC015,130.00,2024-05-03,15:30:00,Shopping,Uptown,Uptown,400,2,105.00,0
