BranchID,BranchName,City,State,Region,BranchManager,OpenDate
BR001,Downtown Manhattan,New York,NY,Northeast,Alice Chen,2012-03-04
BR002,Beverly Hills,Los Angeles,CA,West,Bob Martinez,2006-04-02
BR003,Loop District,Chicago,IL,Midwest,Carol Johnson,2005-04-13
BR004,Galleria,Houston,TX,South,David Kim,2013-04-26
BR005,Scottsdale,Phoenix,AZ,Southwest,Eva Rodriguez,2008-02-01
BR006,Center City,Philadelphia,PA,Northeast,Frank Williams,2007-10-01
BR007,Riverwalk,San Antonio,TX,South,Grace Lee,2007-07-04
BR008,Gaslamp,San Diego,CA,West,Henry Brown,2006-07-26
BR009,Uptown,Dallas,TX,South,Irene Davis,2013-04-05
BR010,Silicon Valley,San Jose,CA,West,Jack Wilson,2006-02-24
